time,open,high,low,close,Volume,ATR
1698776100,350.38,350.57,350.14,350.25,64905,0.47449155565300594
1698776400,350.23,350.37,349.96,350.1,44847,0.46988501596350735
1698776700,350.08,350.08,349.79,349.79,71861,0.45846465768039985
1698777000,349.795,350.23,349.795,350.08,78563,0.4571457535603711
1698777300,350.11,350.25,349.9,350.1,55601,0.4494924854489177
1698777600,350.07,350.51,350.04,350.445,69785,0.45095730791685
1698777900,350.41,350.84,350.24,350.56,81564,0.46160321449421543
1698778200,350.58,350.7,350.46,350.57,34786,0.44577441345891494
1698778500,350.55,350.92,350.53,350.79,75027,0.44179052678328123
1698778800,350.8,351.25,350.76,351.16,88521,0.4452340605844761
1698779100,351.16,351.2,350.83,351.12,70245,0.4398601991141567
1698779400,351.1,351.25,350.99,351.01,71414,0.4270130420345734
1698779700,350.96,351.13,350.87,351.07,50942,0.4150835390321032
1698780000,351.05,351.12,350.585,350.65,91826,0.4236490005298119
1698780300,350.66,350.89,350.6,350.855,59590,0.41410264334910846
1698780600,350.82,350.82,350.58,350.74,69418,0.40416674025274596
1698780900,350.73,350.84,350.52,350.55,96510,0.39815483023469217
1698781200,350.56,350.79,350.42,350.78,89976,0.3961437709322145
1698781500,350.775,350.79,350.55,350.715,129033,0.38499064443705694
1698781800,350.72,350.9,350.49,350.85,228869,0.38677702697726485
1698782100,350.85,351.16,350.75,350.9,447397,0.3884358107646048
1698845400,351.71,352.36,351.62,352.22,219247,0.4649761099957071
1698845700,352.18,352.4,351.95,352.29,110401,0.4639063878531558
1698846000,352.33,352.89,352.05,352.73,146065,0.4907702172922143
1698846300,352.77,353.18,352.38,353.06,212315,0.5128580589141999
1698846600,353.08,353.2,352.82,352.98,109260,0.5033681975631853
1698846900,353.03,353.03,352.32,352.36,148275,0.5181276120229563
1698847200,352.44,353.24,352.36,352.74,167110,0.543975639735602
1698847500,352.69,352.9,352.02,352.3,118593,0.5679773797544873
1698847800,352.24,352.9,351.94,352.66,122351,0.5959789954863081
1698848100,352.69,353.19,352.69,353.03,124384,0.5912662100944269
1698848400,353.06,354.46,353.04,354.39,352652,0.6511757665162541
1698848700,354.39,354.58,354.24,354.4,154360,0.6289489260508055
1698849000,354.45,354.62,354.17,354.34,110606,0.6161668599043185
1698849300,354.37,354.66,354.15,354.525,99247,0.6085835127682991
1698849600,354.52,354.729,354.37,354.63,88852,0.5907561189991336
1698849900,354.67,354.82,354.07,354.2,113917,0.6021306819277669
1698850200,354.21,354.34,353.99,354.08,106197,0.5841213475043526
1698850500,354.09,354.35,353.99,354.19,81366,0.5681126798254713
1698850800,354.185,354.64,354.08,354.57,89174,0.5675332026950807
1698851100,354.58,354.64,354.34,354.6,67516,0.5484236882168615
1698851400,354.62,354.66,353.62,353.88,136225,0.5835362819156585
1698851700,353.87,353.93,353.56,353.6,57234,0.5682836903502547
1698852000,353.61,353.62,353.22,353.57,76288,0.5562634267538064
1698852300,353.54,353.62,353.27,353.41,36601,0.5415303248428218
1698852600,353.41,353.59,353.08,353.26,40131,0.5392781587826196
1698852900,353.25,353.49,353.2,353.32,44482,0.521472576012434
1698853200,353.33,353.63,353.29,353.61,36687,0.5085102491544012
1698853500,353.61,353.84,353.5,353.59,39398,0.49647380278622794
1698853800,353.58,353.92,353.43,353.89,56577,0.496011388301498
1698854100,353.88,354.11,353.86,353.88,58957,0.47843914627996237
1698854400,353.9,353.9,353.58,353.72,40659,0.46712206440282167
1698854700,353.75,353.94,353.56,353.77,97951,0.4608990598026198
1698855000,353.78,354.01,353.57,353.61,45546,0.4594062698167182
1698855300,353.62,353.64,353.23,353.485,35376,0.4558772505440932
1698855600,353.46,353.7,353.36,353.47,31715,0.44760030407665624
1698855900,353.5,353.58,353.29,353.54,20658,0.4363431394997496
1698856200,353.53,353.93,353.52,353.68,42977,0.43446148667834067
1698856500,353.72,353.72,353.18,353.23,48610,0.44199995191560354
1698856800,353.23,353.25,352.73,353.04,79084,0.44757138392163054
1698857100,353.02,353.26,352.93,353.15,39653,0.43917342792722724
1698857400,353.2,353.39,353.06,353.29,42650,0.43137532593242417
1698857700,353.3,353.49,353.19,353.27,40957,0.42199137408010895
1698858000,353.3,353.39,353.02,353.08,27209,0.4182777045029586
1698858300,353.07,353.55,353.05,353.53,41402,0.42411501132417584
1698858600,353.53,354.03,353.47,353.89,70522,0.43382108194387364
1698858900,353.88,354.01,353.65,353.83,42425,0.4285481475193122
1698859200,353.8,353.855,353.43,353.45,82867,0.4282947084107907
1698859500,353.52,353.74,353.37,353.57,57258,0.42413080066716313
1698859800,353.58,353.62,353.16,353.219,42562,0.4266928863337928
1698860100,353.21,353.52,353.19,353.5,25009,0.41978625159566363
1698860400,353.49,353.87,353.37,353.78,45580,0.4255158050531162
1698860700,353.775,353.775,353.285,353.53,66799,0.43047896183503276
1698861000,353.56,353.865,353.55,353.61,43483,0.42365903598967586
1698861300,353.63,353.87,353.5,353.74,49185,0.41982624770469934
1698861600,353.8,354.6,353.33,353.81,199961,0.48055294429722356
1698861900,353.76,353.96,353.37,353.55,90563,0.48837059113313436
1698862200,353.55,353.84,353.27,353.28,66986,0.4942012631950528
1698862500,353.28,353.69,352.95,353.51,113933,0.5117583158239782
1698862800,353.5,353.94,353.5,353.82,66707,0.5066327218365511
1698863100,353.82,354.15,353.58,353.96,94836,0.5111589559910826
